original,translate
Orange Juices,Succhi d'arancia
Barretta-Di-Cioccolata,Barretta Di Cioccolata
Liquirizia,Liquirizia
Gluten-Free Pasta,Pasta senza glutine
Casarecce,Casarecce
Demerara,Demerara
Aromi,Aromi
Esaltatori Di Sapidità,Esaltatori Di Sapidità
Insaporitore,Insaporitore
Brodo Di Manzo,Brodo Di Manzo
En:Noodle Istantanei,Noodle Istantanei
En:Prodotti Disidratati,Prodotti Disidratati
En:Prodotti Disidratati Da Reidratare,Prodotti Disidratati Da Reidratare
Nugget Vegetariani,Pepita vegetariana
Pasta Di Pane In Sfoglia,Pasta Di Pane In Sfoglia
En:Chocolate Biscuity Bars,Barrette biscottose al cioccolato
Pizzas Végétariennes,Pizze vegetariane
Pizzas Au Fromage,Pizze Au Fromage
En:Imbiss,Snack bar
En:Kekse Und Kuchen,Biscotti e torte
En:Kuchen,Torta
En:Schokoladenkuchen,Torta al cioccolato
En:Süßer Snack,Merenda dolce
Растителни Напитки,Bevande vegetali
Плодови Напитки,Bevande alla frutta
Напитки С Алое Вера,Bevande con Aloe Vera
Dattes Deglet Nour,Date Deglet Nour
En:Tea-Based Beverages,Bevande a base di tè
Холодные Чаи,Tè freddi
Холодные-Напитки,Bevande fredde
Холодный Чай,Tè freddo
En:Meat Analogues,Analoghi della carne
It:Sostitutivi Vegani Della Carne,Sostitutivi Vegani Della Carne
Ro:Napolitane Glazurate Cu Crema De Cocos,Cialde glassate con crema di cocco
Baton Proteinowy,Barretta proteica
En:Mixes For Dessert Creams,Miscele per creme da dessert
Produkty Śniadaniowe,Prodotti per la colazione
Zboża I Produkty Zbożowe,Cereali e prodotti a base di cereali
Płatki Śniadaniowe,Cereali per la colazione
Płatki,Fiocchi
En:Cereal Flakes,Fiocchi di cereali
Zboża Ekstrudowane,Cereali estrusi
Płastki Ekstrudowane,Lastre estruse
Płatki Kukurydziane,Corn Flakes
Burro Non Salato,Burro Non Salato
En:Unsalted Butter With 82% Fat,Burro non salato con l'82% di grassi
Pt:Cacau Em Pó Com Proteína,Cacao in polvere con proteine
Sandwiches,Panini
Wraps,Avvolgimenti
En:Wheat-Flatbreads,Pane piatto di grano
Dranken,Dranken
Koolzuurhoudende Dranken,Bevande gassate
Frisdranken,Bevande analcoliche
Cola'S,Cola'S
Energiedranken,Tendini di energia
Energiedranken Met Suiker,Bevande energetiche con zucchero
En:Alcoholvrije Dranken,Bevande analcoliche
En:Frisdranken,Bevande analcoliche
En:Gesuikerde Dranken,Bevande zuccherate
En:Koolzuurhoudende Dranken,Bevande gassate
Sprits Biscuits,Biscotti Sprits
En:Squirty Creams,Creme squirtate
En:Whipped Cream Under Pressure Uht,Panna montata sotto pressione Uht
Zoete Snacks,Spuntini dolci
Zoetwaren,Pasticceria
Snoep,Caramelle
Marshmallows,Marshmallow
En:Marsh-Mallow Tea,Tè alla malva di palude
Birra Rossa,Birra Rossa
Biscottes Au Blé Complet,Fette biscottate integrali
Caseina Micellare,Caseina Micellare
Milchfreie Käse,Formaggio senza latticini
Yogurt Greco Al Mirtillo,Yogurt Greco Al Mirtillo
Yaourts À La Pistache,Yogurt al pistacchio
En:Bevande-Energetiche,Bevande Energetiche
Meal Replacements,Sostituzioni dei pasti
En:Toasted Sesame,Sesamo tostato
Japanese Ravioli,Ravioli giapponesi
Chicken Gyoza,Gyoza di pollo
Frappè,Frappè
Bakery Products,Prodotti da forno
Begudes,Beghe
Begudes Carbonatades,Begudes Carbonatades
Refrescs,Riferimenti
Refre,Riferimenti
Bonbóny,Bonbóny
Yogurt Aromatizzati,Yogurt Aromatizzati
Cheese Puffs,Bignè al formaggio
Biscotti Doppio Cioccolato,Biscotti Doppio Cioccolato
Caffè Freddo,Caffè Freddo
Pains D'Épices,Pan di zenzero
En:Cioccolatino,Cioccolatino
En:Brotaufstriche,Diffusione
En:Butterfett,Butterfett
En:Fette,Grassi
En:Milchfette,Grassi del latte
En:Milchstreichfett,Latte spalmabile
En:Streichfette (Milch- Und Nichtmilcherzeugnisse),Grassi spalmabili (latte e prodotti non caseari)
En:Tierische Fette,Grassi animali
Sl:Siri,Siri
Joghurt,Yogurt
Naturjoghurt,Yogurt naturale
Kuhmilchjoghurt,Yogurt di latte vaccino
Griechische Joghurt,Yogurt greco
Pains Au Lait Au Chocolat,Pane al cioccolato e latte
Salmons,Salmoni
Smoked Fishes,Pesci affumicati
Smoked Salmons,Salmoni affumicati
Kompotte,Composte
Apfelkompott,Mele stufate
Apfelmus,Mela grattugiata
En:Vegetarian Sauces,Salse vegetariane
En:Bolognese-Style Vegetarian Sauces,Sughi vegetariani alla bolognese
Pan Di Zenzero,Pan Di Zenzero
Pita,Pita
Nudelgerichte,Piatti di pasta
Gefrorene Fertiggerichte,Piatti pronti surgelati
Dal 12Mo Mese,Dal 12Mo Mese
Vini,Vini
Vini Italiani,Vini Italiani
Prosecco,Prosecco
Piatti Pronti A Base Di Patate,Piatti Pronti A Base Di Patate
Insalata Di Patate,Insalata Di Patate
Assortiments De Chocolats,Assortimenti di cioccolato
En:Vegan Sauces,Salse vegane
En:Farro,Farro
En:Grano,Grano
En:Semi,Semi
En:Semi Di Cereale,Semi Di Cereale
En:Zuppa-Di-Farro,Zuppa Di Farro
En:Torte Dolci E Salate  Torte Dolci  Crostata,Torte Dolci E Salate Torte Dolci Crostata
Queso Azul,Formaggio blu
Mele Disidratate,Mele Disidratate
Tramezzini Integrali Salmone E Maionese,Tramezzini Integrali Salmone E Maionese
Crema Spalmabile Alla Nocciola,Crema Spalmabile Alla Nocciola
Confetture Di Frutti Tropicali,Confetture Di Frutti Tropicali
Pane Pre-Cotto,Pane Pre Cotto
Bistecche Di Manzo,Bistecche Di Manzo
Hamburger Di Manzo,Hamburger Di Manzo
Fruchtsäfte Aus Konzentrat,Succhi di frutta da concentrato
Yogurt Alla Frutta Con Pezzi Di Frutta,Yogurt Alla Frutta Con Pezzi Di Frutta
Yogurt Alla Fragola,Yogurt Alla Fragola
Udon,Udon
En:Shortcrust Pastry,Pasta frolla
Eingelegte Lebensmittel,Cibo in salamoia
Gurken,Cetrioli
Gummibonbons,Caramelle gommose
Gummibärchen,Orsetti gommosi
Mlečni Izdelek,Prodotto lattiero-caseario
En:Whole Milks,Latte intero
En:Whole Milk Uht,Latte intero Uht
Bevande Aromatizzate,Bevande Aromatizzate
Roulés Au Chocolat,Rotoli di cioccolato
Fruits Français,Frutta francese
Pruneaux,Prugne secche
Pruneaux D'Agen,Agen Prunes
Aliments À Base De Plantes Séchés,Alimenti vegetali essiccati
Pains Briochés,Pane brioche
Comestibles,Generi alimentari
Salades De Fruits,Insalate di frutta
Salades De Fruits Au Sirop,Insalate di frutta sciroppata
Macédoine De Fruits Au Sirop Appertisé Non Égoutté,"Macedonia di frutta secca in sciroppo, non sgocciolata"
Additifs Alimentaires,Additivi alimentari
Stévia Et Dérivés,Stevia e derivati
Succédanés Du Sucre,Sostituti dello zucchero
Édulcorants Naturels,Dolcificanti naturali
Édulcorants De Table,Tabella Dolcificanti
Purées De Patates Douces,Purè di patate dolci
Sablés À La Noix De Coco,Pasta frolla al cocco
En:Sablés À La Noix De Coco,Pasta frolla al cocco
Raspberries,Lamponi
En:Frozen-Berries,Frutti di bosco congelati
Sésame,Sésame
Petits Épeautres,Farro piccolo
Graine De Sésame Décortiquée,Semi di sesamo sgusciati
Chocolats Blancs À La Nougatine,Cioccolatini bianchi Nougatine
Chocolats À La Nougatine,Cioccolatini Nougatine
Riz À Grain Médium,Riso a chicco medio
Riz Carnaroli,Riz Carnaroli
Truffes En Chocolat,Tartufi al cioccolato
Chocolats Au Lait Aux Céréales Croustillantes,Cioccolatini croccanti al latte ai cereali
Galletas Rellenas,Galletas rellenas
Néctares De Frutas,Nettari di frutta
Néctares Multifruta,Nettari multi-frutto
Pavés De Saumon,Padiglioni di Saumon
Steaks De Viande,Bistecche De Viande
Steaks De Bœuf,Bistecche di manzo
Viandes Surgelées,Carni congelate
Steaks Hachés,Bistecche Hachés
Steaks Surgelés,Bistecche chirurgiche
Steaks De Bœuf Hachés,Bistecche di manzo tritate
Steaks Hachés Surgelés,Bistecche Hachés Surgelés
Steaks Hachés De Bœuf Surgelés,Bistecche di manzo tritate congelate
Lentilles Blondes,Lenti bionde
Cônes Glacés,Coni di ghiaccio
Frutos De Cáscara,Frutti del Capsico
Croquettes De Pommes De Terre Surgelées,Crocchette di patate surgelate
Charcuteries Diverses,Salumi diversi
Allumettes De Volaille,Partite di pollame
Allumettes De Poulet,Fiammiferi di pollo
Carottes En Conserve,Carote in scatola
Boulettes De Viande,Polpette
Boulettes Au Bœuf,Polpette di manzo
Biscuits Tablette Fourrée,Biscotti in compresse ripieni
Feuilles De Filo,Foglie di Filo
Préparations De Viande Surgelées,Preparazioni di carne congelate
Préparations De Viande Hachée,Preparazioni di carne macinata
Préparations De Viande Hachées Surgelées,Preparazioni di carne macinata congelata
Préparations De Viande Bovine Hachée,Preparazioni di carne macinata di manzo
Préparations De Viande Bovine Hachée Surgelées,Preparazioni di carne macinata di manzo congelate
Nouilles De Blé Dur,Tagliatelle di grano duro
Fèves,Fagioli
Fèves Surgelées,Fave congelate
Fruits Tropicaux Surgelés,Frutta tropicale congelata
Choux De Bruxelles,Cavoletti di Bruxelles
Choux De Bruxelles Surgelés,Cavoletti di Bruxelles congelati
It:Senza Lattosio,Senza Lattosio
It:Senza Zuccheri,Senza Zuccheri
It:Vegetale,Vegetale
Printanière De Légumes Surgelée,Verdure primaverili surgelate
Printanière De Légumes,Verdure di primavera
Volailles Cuites,Pollame cotto
Poulets Cuisinés,Pollo preparato
Nuggets De Volaille,Pepite di Volaille
Poulets Panés,Pollo impanato
Nuggets De Poulet,Bocconcini di pollo
En:Milk Bread,Pane al latte
Bûche De Chèvre,Tronco di capra
Ciabatta,Ciabatta
Mollusques,Molluschi
Noix De Saint-Jacques,Capesante
Plats Aux Fruits De Mer,Piatti a base di pesce
Plats Aux Noix De Saint-Jacques,Piatti a base di capesante
Entrées Et Snacks Surgelés,Antipasti e snack surgelati
Coquilles Saint-Jacques,Capesante
Coquilles-Saint-Jacques-Surgelees,Capesante congelate
Madeleine,Madeleine
Tabbouleh,Tabbouleh
Salads,Insalate
Cakes Aux Légumes,Torte di verdure
Spinaci Surgelati,Spinaci chirurgici
Lc1,Lc1
En:Chocolate Nuts Cookie Bars,Barrette di biscotti al cioccolato e noci
Prosciutto Cotto Affumicato,Prosciutto Cotto Affumicato
Gemul,Gemul
En:Cherry Jams,Marmellate di ciliegie
Gâteaux Et Pâtisseries Surgelés,Torte e pasticcini surgelati
Quesos De Leche De Oveja,Quesos De Leche De Oveja
Quesos Españoles,Formaggi spagnoli
Manchego,Manchego
Macarons,I macarons
Sfoglie,Sfoglie
Piatti A Base Di Carne Di Maiale,Piatti A Base Di Carne Di Maiale
Pizza Prosciutto E Formaggio,Pizza Prosciutto E Formaggio
Margarines,Margarine
Pomodori Secchi,Pomodori Secchi
Zuppa,Zuppa
Gefrorene Früchte,Frutta congelata
Himbeeren,Lamponi
Gefrorene Beeren,Bacche congelate
Gefrorene Himbeeren,Lamponi congelati
Brötchen,rotoli
Chocolats De Noël,Cioccolatini di Natale
Calendriers De L'Avent,Calendari dell'Avvento
Laits Entiers,Latte intero
Citrons,Limone
Zeste De Citron,Zeste De Citron
Olasz Sajtok,Formaggi italiani
Pilze Und Pilzprodukte,Funghi e prodotti a base di funghi
Getrocknete Produkte Auf Pflanzlicher Basis,Prodotti vegetali essiccati
Getrocknete Pilze,Funghi secchi
Getrocknete Steinpilze,Funghi porcini secchi
Fr:Poisson En Boîte,Pesce in scatola
Sauce-Piquante,Salsa piccante
Arômes Naturel,Aromi naturali
Colorants Naturel,Coloranti naturali
American Beers,Birre americane
Farming Products,Prodotti agricoli
Eggs,Uova
Pesche Sciroppate,Pesche Sciroppate
En:Canned Drained Peach In Light Syrup,Pesca in scatola sgocciolata in sciroppo leggero
Tiefkühl-Fleisch,Carne congelata
Gegrillte Röllchen,Involtini alla griglia
Porridge,Porridge
Porridge With Fruits,Porridge con frutta
En:Ham Substitutes,Sostituti del prosciutto
Milk Jams,Marmellate di latte
Getränke Mit Süßstoff,Bevande con dolcificante
Kalorienarme Getränke,Bevande a basso contenuto calorico
Kalorienarme Erfrischungsgetränke,Bevande analcoliche a basso contenuto calorico
Buttermilch,Latticello
Energy Drink With Sugar,Bevanda energetica con zucchero
It:Bdvanda,Bdvanda
Senfe,Senape
Süße Senfe,Mostarde dolci
Gewürzmischung,Miscela di spezie
Curry Pulver,Polvere di Curry
Currypulver,curry in polvere
Fruit Nectars,Nettari di frutta
Multifruit Nectars,Nettari multi-frutto
Pancia Di Maiale,Pancia Di Maiale
Tomatenketchup,Ketchup di pomodoro
Bombones,Bomboniere
De:Mozart Kugeln,Palle di Mozart
Forme Di Cioccolato,Forme Di Cioccolato
Cibi Per Pasqua,Cibi Per Pasqua
Conigli Di Cioccolato,Conigli Di Cioccolato
Acqua Di Cocco,Acqua Di Cocco
Maionese Senza Uovo,Maionese Senza Uovo
Koekjes En Cakes,Biscotti e torte
Koekjes,Biscotti
Wafeltjes,Cialda
Gevulde Wafeltjes,Cialde ripiene
Stroopwafels,Stroopwafels
Pesce Vegano,Pesce Vegano
Zuppe Di Verdura In Scatola,Zuppe Di Verdura In Scatola
Passato Di Verdure,Passato Di Verdure
Uk:Вафлі,Cialde
Dadi Per Brodo,Dadi Per Brodo
It.Legumi,Legumi
Sunflower Oil Mayonnaises,Maionesi all'olio di girasole
Café Crème Au Caramel,Café Crème Au Caramel
Risotto Alle Verdure,Risotto Alle Verdure
Alimentos De Origen Vegetal Congelados,Alimenti congelati di origine vegetale
Congelados,Cibo congelato
Patatas Congeladas,Patate congelate
Potatoes Épicées Cuites Surgelées,Patate cotte piccanti surgelate
Sirke,Aceto
En:Cider Vinegars,Aceti di sidro
Patatine Proteiche,Patatine proteiche
En:Bars,Bars
Harinas De Origen Vegetal,Aringhe di origine vegetale
Productos Deshidratados,Prodotti disidratati
Alimentos De Origen Vegetal Deshidratados,Alimenti disidratati di origine vegetale
Algas Y Sus Productos,Alghe e prodotti a base di alghe
Algas Deshidratadas,Alghe disidratate
Algas Kombu,Algas Kombu
Algas Kombu Deshidratadas,Algas Kombu Deshidratadas
Bebidas Instantáneas,Bevande istantanee
En:Gummy Crocodiles,Coccodrilli gommosi
Crostacei,Crostacei
En:Pan Tostado,Pane tostato
En:Panes,Pannelli
En:Panes Sin Gluten,Panes Sin Gluten
En:Productos Sin Gluten,Prodotti senza glutine
Conservas,Cibo in scatola
Alimentos De Origen Vegetal En Conserva,Cibi in scatola di origine vegetale
Verduras Y Hortalizas En Conserva,Verdure in scatola
Pimientos,Peperoni
Pimientos En Conserva,Peperoni in scatola
Puffed Corn Cakes With Black Chocolate,Torte di mais soffiato con cioccolato nero
En:Patatine-E-Fritti,Patatine E Fritti
En:Patatine-Sottili,Patatine Sottili
En:Snacks-Salati,Snack Insalate
Zumos De Naranja,Zumos De Naranja
En:Fish Fingers,Dita di pesce
Meringhe,Meringa
Prodotto Dolciario,Prodotto Dolciario
Pizze Ovali,Pizze Ovali
Chicken Breasts,Petti di pollo
Abruzzo,Abruzzo
Biscotti-Con-Cioccolato-Fondente,Biscotti Con Cioccolato Fondente
Frollini Con Avena,Frollini Con Avena
Maionese Di Digione,Maionese Di Digione
Ziti,Citazione
Penne Lisce,Penne Lisce
Salse Al Formaggio,Salse Al Formaggio
En:Green Sauces,Salse verdi
En:Plum Cakes,Torte alle prugne
Hot Dog Buns,Panini per hot dog
Bevanda A Base Di Latte Fermentato,Bevanda A Base Di Latte Fermentato
Ortaggi Da Fusto,Ortaggi Da Fusto
Carciofi,Carciofi
Carciofi In Scatola,Carciofi In Scatola
Conserve,Conservare
En:Tonno All'Olio D'Oliva,Tonno All'Olio D'Oliva
Yaourts Au Citron,Yogurt al limone
Yaourts Entiers,Yogurt interi
Fish Sandwiches,Panini al pesce
En:Brown Lentils,Lenticchie marroni
Lenticchia Di Altamura,Lenticchia Di Altamura
Pane Carasau,Pane Carasau
Cime Di Rapa,Cime Di Rapa
En:Condimenti,Condimenti
En:Generi Alimentari,Generi Alimentari
En:Salse,Salse
En:Salse Di Pomodoro,Salse Di Pomodoro
En:Shelled Pumpkin Seeds,Semi di zucca sgusciati
Bevanda A Base Di Aloe Vera,Bevanda A Base Di Aloe Vera
En:Cubed Ham,Prosciutto a cubetti
En:Stracciatella,Stracciatella
En:Sushis-And-Makis,Sushis e Makis
Sushi,Sushi
Mandorle Sgusciate,Mandorle Sgusciate
Pomodoro Essiccato Sott'Olio,Pomodoro Essiccato Sott'Olio
Pane In Cassetta,Pane In Cassetta
En:Filled Fritters,Frittelle ripiene
Legumi Surgelati,Legumi chirurgici
Fagiolini,Fagiolini
Fagiolini Surgelati,Fagiolini Surgelati
Tranci Di Tonno,Tranci Di Tonno
Primi,Primi
En:Lemon Tarts,Crostate al limone
Torta Meringata Al Limone,Torta Meringata Al Limone
Guacamole,Guacamole
Verdure Fresche,Verdure Fresche
Pomodori Ciliegini,Pomodori Ciliegini
Pomodori Freschi,Pomodori Freschi
En:Multi-Fruit Nectars,Nettari multi-frutta
Tonno-All-Olio-D-Oliva,Tonno All Olio D Oliva
Dessert Al Caffè,Dessert Al Caffè
Caffè Con Latte Con Zucchero,Caffè Con Latte Con Zucchero
Involtini Primavera,Involtini Primavera
En:Skimmed-Milks-Uht,Latte scremato Uht
Lassagne Pronte,Lassagne Pronte
Lasagne Alla Bolognese,Lasagne Alla Bolognese
Lasagne Surgelate,Lasagne Surgelate
Piselli Congelati,Piselli Congelati
Cheesecake,Cheesecake
Yogurt Al Cappuccino,Yogurt Al Cappuccino
Mystère,Mistero
Pasti Con Salmone,Pasti Con Salmone
It:Pesce Surgelato,Pesce Surgelato
Frozen Legumes,Legumi congelati
Spirulina,Spirulina
It:Alghe,Alghe
Cornetto,Cornetto
En:Focaccia,Focaccia
En:Filled Focaccia,Filled Focaccia
Verdure In Agrodolce,Verdure In Agrodolce
Preparazione Di Ciliege,Preparazione Di Ciliege
Arrabbiata Sauces,Arrabbiata Sauces
Porc Et Dérivés,Carne di maiale e derivati
Porc,Porc
En:Fruit Kefir Yogurts,Yogurt di kefir di frutta
En:Bread Flours,Farine per pane
En:Sandwiches,Panini
Dolci-Al-Cucchiaio,Dolci Al Cucchiaio
En:Whole Pasteurised Milks,Latte intero pastorizzato
Broccoli,Broccoli
Friarielli,Friarielli
It:Friselle,Friselle
Conserve Vegetali,Conserve Vegetali
En:Prepared Fish,Pesce preparato
En:Marinated Fish,Pesce marinato
En:Marinated Common Anchovy,Acciuga comune marinata
En:Whole Wheat Breads,Pane integrale
Fr:Sauces Puttanesca,Salse alla Puttanesca
En:Tomate Sauces,Salse al pomodoro
Fette Di Segale Integrali Bio,Fette Di Segale Integrali Bio
Mostarda,Senape
En:Porridge With Fruits,Porridge con frutta
Filetti Di Acciughe Sott'Olio,Filetti Di Acciughe Sott'Olio
Guacamoles,Guacamole
Bastoncini-Di-Salmone,Bastoncini Di Salmone
Frollini Ripieni,Frollini Ripieni
Peanuts Cooked In Water With Salt,Arachidi cotte in acqua con sale
En:Uht Skimmed Milks,Latte scremato Uht
Canederli,Canederli
Pancetta-Dolce,Pancetta Dolce
Lupins,Lupin
Pane Tostato,Pane Tostato
Crema Catalana,Crema Catalana
Alimentare,Alimentare
Peach Juices,Succhi di pesca
En:Stracchino Di Riso,Stracchino Di Riso
Mushrooms,Funghi
Risotto Aux Épinards,Risotto Aux Épinards
It:Risotto Ai Carciofi,Risotto Ai Carciofi
Biscuit De Blé Tendre Avec Cacao Et Riz Soufflé,Biscotto di grano tenero con soufflé di cacao e riso
Insalate Di Pasta,Insalate Di Pasta
Insalata-Pollo,Insalata Pollo
Lentil Soups,Zuppe di lenticchie
Malto,Malto
Malto-D-Orzo,Malto D Orzo
Crema Caffè,Crema Caffè
Barrette Di Cereali Con Albicocca,Barrette Di Cereali Con Albicocca
Farine Di Grano Saraceno,Farine Di Grano Saraceno
Prosciutti Secci,Prosciutti Secci
Prosciutto Di San Daniele,Prosciutto Di San Daniele
Formaggio Fresco A Pasta Filata,Formaggio Fresco A Pasta Filata
Formaggio Per Pizza,Formaggio Per Pizza
Salse Cocktail,Cocktail Salse
Fr:Tortellini-Ricotta-Epinards,Tortellini Ricotta Epinards
Fr:Tortelloni Ricotta Et Épinards,Tortelloni Ricotta Et Épinards
Tortelloni Ricotta E Spinaci,Tortelloni Ricotta E Spinaci
Ruchetta,Ruchetta
Patate Selenella,Patate Selenella
Marmellata Di Uva Fragola,Marmellata Di Uva Fragola
Piante Aromatiche,Piante Aromatiche
En:Aromatic-Herbs,Erbe aromatiche
Tarassaco,Tarassaco
Fr:Beurres-De-Bufflonne,Curve di Bufflonne
Chestnut Spreads,Spread di castagne
Salsa Tartara,Salsa Tartara
Alimenti Secchi,Alimenti Secchi
Datteri Medjoul,Datteri Medjoul
Cosce Di Pollo,Cosce Di Pollo
Latte Di Soia Al Cioccolato,Latte Di Soia Al Cioccolato
Dolci Alla Mandorla,Dolci Alla Mandorla
Cicoria,Cicoria
Surrogato-Del-Caffe,Surrogato Del Caffe
Croccantini Di Mais Al Formaggio,Croccantini Di Mais Al Formaggio
Avocado,Avocado
Polpa Di Frutta,Polpa Di Frutta
En:Plant Based,A base vegetale
En:Dried Bilberries,Mirtilli secchi
Salume,Salume
Tartufo Bianco,Tartufo Bianco
En:Crunchy Mueslis With Chocolate,Mueslis croccanti con cioccolato
Cotechino Modena,Cotechino Modena
Bastoncini Vegani,Bastoncini Vegani
En:Meat Analogues From Soy Or Wheat Proteins,Analoghi della carne da proteine di soia o di frumento
En:Patties From Soy And Or Wheat Proteins,Polpette a base di proteine di soia o di frumento
En:Smoked Cured Hams,Prosciutti affumicati
Spalmabile-Di-Tofu-Con-Zucca-E-Alghe,Spalmabile Di Tofu Con Zucca E Alghe
Senza Latte,Senza Latte
Gâteau Au Fromage Blanc,Torta Fromage Blanc
Legumi Decorticati,Legumi Decorticati
Lenticchie Regina,Lenticchie Regina
Lenticchie Gialle,Lenticchie Gialle
Lenticchie Marroni,Lenticchie Marroni
Lenticchie Secche,Lenticchie Secche
Preparato Per Brodo E Condimenti,Preparato Per Brodo E Condimenti
Miglio,Miglio
Latti Di Grano,Latti Di Grano
Bevanda Di Farro,Bevanda Di Farro
Seeded Bread,Pane ai semi
It:Vongole Precotte,Vongole Precotte
Gnocco Fritto,Gnocco Fritto
En:Sostituti Del Pane,Sostituti Del Pane
Italienische Fleischprodukte,Prodotti a base di carne italiani
Salami,Salame
Caciotta,Caciotta
Olio Di Vinaccioli,Olio Di Vinaccioli
Eaux De Sources,Acqua di sorgente
Eaux Minérales,Acque minerali
Salse Harissa,Salse Harissa
Patè Di Pomodori,Patè Di Pomodori
Dolci Di Natale,Dolci Di Natale
Torrone,Torrone
Torrone Al Cioccolato,Torrone Al Cioccolato
Vellutata Di Bieta E Cavolfiore,Vellutata Di Bieta E Cavolfiore
En:Oat Pasta,Pasta all'avena
Olive-Taggiasche,Olive Taggiasche
Petto Di Tacchino,Petto Di Tacchino
Biscotti Per Bambini,Biscotti Per Bambini
It:Cialde,Cialde
Pesto Di Pistacchio,Pesto Di Pistacchio
Biscoti,Biscoti
En:Green-Pestos,Pesto verde
Cereali-Per-Colazione,Cereali Per Colazione
En:Sofficini,Sofficini
Biscotti Con Grano Saraceno E Zucchero Di Canna,Biscotti Con Grano Saraceno E Zucchero Di Canna
Parmigiana,Parmigiana
Risi Precotti,Risi Precotti
En:Flavoured Soy Dessert,Dessert di soia aromatizzato
Dessert Di Soia Al Cioccolato,Dessert Di Soia Al Cioccolato
Preparazione Alimentare A Base Di Tofu,Preparazione Alimentare A Base Di Tofu
Farine Di Quinoa,Farine Di Quinoa
Miglio Soffiato,Miglio Soffiato
Concentrato Di Dattero,Concentrato Di Dattero
Amaranto Soffiato,Amaranto Soffiato
Noci Di Acagiu,Noci Di Acagiu
En:Almonds-Spreads,Mandorle spalmate
Fr:Charcuteries Diverses,Salumeria Diverses
Paté,Paté
Patè Al Peperoncino,Patè Al Peperoncino
Aceto Di Melograno,Aceto Di Melograno
Succo Di Mela Ananas E Zenzero Estratti A Freddo,Succo Di Mela Ananas E Zenzero Estratti A Freddo
Canned Vegetable Soups,Zuppe di verdure in scatola
Gallette Di Legumi,Gallette Di Legumi
En:Toasted Chicory Powder,Polvere di cicoria tostata
Pangrattato,Pangrattato
Prodotto Da Forno Senza Lievito Aggiunto,Prodotto Da Forno Senza Lievito Aggiunto
Sfogliatine Di Farro Bio,Sfogliatine Di Farro Bio
Formaggi Pastorizzati,Formaggi Pastorizzati
Succo Di Mirtillo,Succo Di Mirtillo
Riz Pour Sushi,Riso per sushi
Productos A Base De Algas,Prodotti a base di alghe
Agar-Agar,Agar Agar
Glaces À L'Eau,Ghiaccio d'acqua
En:Cooked Polenta,Polenta cotta
Dessert Alla Frutta Per Neonati,Dessert Alla Frutta Per Neonati
Prosciutto Crudo Di Parma,Prosciutto Crudo Di Parma
Cremini,Cremini
Bocconcini,Bocconcini
Bocconcini Di Sfoglia,Bocconcini Di Sfoglia
Mandorlato,Mandorlato
Reginette,Reginette
Pizzoccheri Della Valtellina,Pizzoccheri Della Valtellina
Latte Di Riso Naturale,Latte Di Riso Naturale
Mortadella Puro Suino,Mortadella Puro Suino
Mortadella Bologna,Mortadella Bologna
Patatine Al Formaggio,Patatine Al Formaggio
Senape Tradizionale,Senape Tradizionale
Snak,Snak
Creme A Base Di Soia Per Cucina,Creme A Base Di Soia Per Cucina
En:Blueberry Soy Yogurts,Yogurt di soia al mirtillo
Anacardi Tostati E Salati,Anacardi Tostati E Salati
Riso Ribe,Riso Ribe
Sostitutivi Dello Zucchero,Sostitutivi Dello Zucchero
Dolcificanti Da Tavola,Dolcificanti Da Tavola
En:Riso,Riso
Gnocchetti Di Patate,Gnocchetti Di Patate
En:Italia,Italia
Mousse Dolci,Mousse Dolci
Cioccolata,Cioccolata
Amidi,Amidi
Amidi Di Cereali,Amidi Di Cereali
Amido Di Mais,Amido Di Più
Yogurt Alla Mela,Yogurt Alla Mela
Biscotti Con Cereali,Biscotti Con Cereali
Peperoncini Ripieni,Peperoncini Ripieni
R,R
Trecce,Trecce
En:Pasta Filata,Pasta Filata
Gelati Di Origine Vegetale,Gelati Di Origine Vegetale
En:Gelato,Gelato
Vegetable-Pickles,Sottaceti vegetali
Refrigerated Foods,Alimenti refrigerati
Plant-Based Meals,Pasti a base vegetale
Refrigerated Meals,Pasti refrigerati
Refrigerated Soups,Zuppe refrigerate
Torte Salate,Torte Salate
Lattughino,Lattughino
Polpa Di Frutta In Scatola,Polpa Di Frutta In Scatola
Merende,Merende
Snack Dolci A Base Di Sfoglia,Snack Dolci A Base Di Sfoglia
Vongole,Vongole
Pripremljena Jela,Jela montata
Mesa,Mesa
Šunke,Prosciutti
Farine Di Grano Duro,Farine Di Grano Duro
Rice Dishes,Piatti a base di riso
Vegetable Risottos,Vegetable Risottos
Mushrooms Risottos,Mushrooms Risottos
Risotto Pronto,Risotto Pronto
Tortelli,Tortelli
En:Sweet Peppers,Peperoni dolci
Funghi Secchi,Funghi Secchi
Sl:Zamrznjene Jedi,Jedi congelato
Spinaci Surgelati Delizie Del Sole,Spinaci Surgelati Delizie Del Sole
En:Brea,Brea
En:Aubergines,Melanzane
Friuli,Friuli
Frico,Frico
Babas Au Rhum,Rum Babas
Marmellata Di Limone,Marmellata Di Limone
Confettura-Di-Fichi,Confettura Di Fichi
Confettura-Extra-Di-Fichi,Confettura Extra Di Fichi
Ricotta Di Bufala Campana,Ricotta Di Bufala Campana
Ricotta Di Bufala,Ricotta Di Bufala
